ENSG	Name	Size
ENSG00000006116.3	CACNG3	3088
ENSG00000006118.13	TMEM132A	1473.71428571429
ENSG00000006125.15	AP2B1	1779.95454545455
ENSG00000006128.10	TAC1	870.8
ENSG00000006194.9	ZNF263	1658
ENSG00000006210.6	CX3CL1	3248.25
ENSG00000006282.18	SPATA20	1417.32142857143
ENSG00000006283.16	CACNA1G	6584.41176470588
ENSG00000006327.12	TNFRSF12A	873.857142857143
ENSG00000006377.10	DLX6	1527.33333333333
ENSG00000006432.14	MAP3K9	5316.28571428571
ENSG00000006451.6	RALA	1111
ENSG00000006453.12	BAIAP2L1	1344.2
ENSG00000006459.9	KDM7A	5946.33333333333
ENSG00000006468.12	ETV1	2341.82608695652
ENSG00000006530.14	AGK	1369.6
ENSG00000006534.14	ALDH3B1	1928.3
ENSG00000006555.9	TTC22	1831.6
ENSG00000006576.15	PHTF2	2833.91666666667
ENSG00000006606.7	CCL26	614.5
ENSG00000006607.12	FARP2	1241.68181818182
ENSG00000006611.14	USH1C	1428.81818181818
ENSG00000006625.16	GGCT	930.875
ENSG00000006634.6	DBF4	1589.5
ENSG00000006638.10	TBXA2R	1596.5
ENSG00000006652.12	IFRD1	1238.76470588235
ENSG00000006659.11	LGALS14	672
ENSG00000006695.9	COX10	1660.25
ENSG00000006704.9	GTF2IRD1	2746.85714285714
ENSG00000006712.13	PAF1	968
ENSG00000006715.14	VPS41	1142.42857142857
ENSG00000006740.15	ARHGAP44	2260.91666666667
ENSG00000006744.17	ELAC2	1518.25
ENSG00000006747.13	SCIN	1936.5
ENSG00000006756.14	ARSD	1644.71428571429
ENSG00000006757.10	PNPLA4	2333.75
ENSG00000006788.11	MYH13	5991.66666666667
ENSG00000006831.9	ADIPOR2	1038
ENSG00000006837.10	CDKL3	1231.7
ENSG00000007001.11	UPP2	1640.75
ENSG00000007038.9	PRSS21	773
ENSG00000007047.13	MARK4	1638.09090909091
ENSG00000007062.10	PROM1	1781.94736842105
ENSG00000007080.9	CCDC124	795.5
ENSG00000007129.16	CEACAM21	1161.28571428571
ENSG00000007168.11	PAFAH1B1	1205.84615384615
ENSG00000007171.15	NOS2	3760.5
ENSG00000007174.16	DNAH9	2892.86666666667
ENSG00000007202.13	KIAA0100	1954.3125
ENSG00000007216.13	SLC13A2	2153.57142857143
ENSG00000007237.17	GAS7	2064.77777777778
ENSG00000007255.9	TRAPPC6A	641
ENSG00000007264.12	MATK	1088.6
ENSG00000007306.13	CEACAM7	1197.75
ENSG00000007312.11	CD79B	842.666666666667
ENSG00000007314.10	SCN4A	2983
ENSG00000007341.17	ST7L	1533.10714285714
ENSG00000007350.15	TKTL1	1059.5
ENSG00000007372.19	PAX6	2015.07407407407
ENSG00000007376.6	RPUSD1	1275.6
ENSG00000007384.14	RHBDF1	1200
ENSG00000007392.15	LUC7L	1204.14285714286
ENSG00000007402.10	CACNA2D2	4199.5
ENSG00000007516.12	BAIAP3	2225.4375
ENSG00000007520.3	TSR3	946
ENSG00000007541.13	PIGQ	1400.91666666667
ENSG00000007545.14	CRAMP1	2346.75
ENSG00000007866.17	TEAD3	1919.25
ENSG00000007908.14	SELE	2242.66666666667
ENSG00000007923.14	DNAJC11	1331
ENSG00000007933.11	FMO3	1012.5
ENSG00000007944.13	MYLIP	2231
ENSG00000007952.16	NOX1	1607.4
ENSG00000007968.6	E2F2	2870.5
ENSG00000008018.8	PSMB1	1433.5
ENSG00000008056.11	SYN1	1693.8
ENSG00000008083.12	JARID2	3956.66666666667
ENSG00000008086.9	CDKL5	2866
ENSG00000008118.8	CAMK1G	1608.25
ENSG00000008128.21	CDK11A	1357.34782608696
ENSG00000008130.14	NADK	1200.70588235294
ENSG00000008196.11	TFAP2B	2468.33333333333
ENSG00000008197.4	TFAP2D	1204
ENSG00000008226.18	DLEC1	3161.16666666667
ENSG00000008256.14	CYTH3	1282.72727272727
ENSG00000008277.13	ADAM22	3029.81818181818
ENSG00000008282.6	SYPL1	1192.28571428571
ENSG00000008283.14	CYB561	1339
ENSG00000008294.19	SPAG9	2111.13636363636
ENSG00000008300.13	CELSR3	5362.5
ENSG00000008311.13	AASS	2473.28571428571
ENSG00000008323.14	PLEKHG6	1484.44444444444
ENSG00000008324.9	SS18L2	798.333333333333
ENSG00000008382.14	MPND	1251.125
ENSG00000008394.11	MGST1	792.842105263158
ENSG00000008405.10	CRY1	1804.6
ENSG00000008438.4	PGLYRP1	720
ENSG00000008441.15	NFIX	1628.85714285714
ENSG00000008513.13	ST3GAL1	1707.92857142857
ENSG00000008516.15	MMP25	1515
ENSG00000008517.15	IL32	844.885714285714
ENSG00000008710.16	PKD1	2075.20512820513
ENSG00000008735.13	MAPK8IP2	4488.5
ENSG00000008838.16	MED24	1270.53125
ENSG00000008853.15	RHOBTB2	2083.75
ENSG00000008869.10	HEATR5B	1907
ENSG00000008952.15	SEC62	1263.9
ENSG00000008988.8	RPS20	738.416666666667
ENSG00000009307.14	CSDE1	1988
ENSG00000009335.16	UBE3C	1865.55555555556
ENSG00000009413.14	REV3L	5071
ENSG00000009694.12	TENM1	8727
ENSG00000009709.10	PAX7	3166
ENSG00000009724.15	MASP2	1449.5
ENSG00000009765.13	IYD	2567.11111111111
ENSG00000009780.14	FAM76A	1582
ENSG00000009790.13	TRAF3IP3	1385.3125
ENSG00000009830.10	POMT2	1274.09523809524
ENSG00000009844.14	VTA1	3057.8
ENSG00000009950.14	MLXIPL	2167.81818181818
ENSG00000009954.9	BAZ1B	4119
ENSG00000010017.12	RANBP9	1885.5
ENSG00000010030.12	ETV7	1550.125
ENSG00000010072.14	SPRTN	1792.33333333333
ENSG00000010165.18	METTL13	1668.14285714286
ENSG00000010219.12	DYRK4	985.882352941176
ENSG00000010244.15	ZNF207	2216.5
ENSG00000010256.9	UQCRC1	945.5
ENSG00000010270.12	STARD3NL	1512.42857142857
ENSG00000010278.10	CD9	981.333333333333
ENSG00000010282.13	HHATL	877.090909090909
ENSG00000010292.11	NCAPD2	1434
ENSG00000010295.18	IFFO1	2705.83333333333
ENSG00000010310.7	GIPR	1265.875
ENSG00000010318.18	PHF7	1144.54545454545
ENSG00000010319.5	SEMA3G	2121
ENSG00000010322.14	NISCH	1953.35714285714
ENSG00000010327.9	STAB1	2312.22222222222
ENSG00000010361.12	FUZ	980.3125
ENSG00000010379.14	SLC6A13	851.583333333333
ENSG00000010404.16	IDS	1846.625
ENSG00000010438.15	PRSS3	695.75
ENSG00000010539.10	ZNF200	2317.5
ENSG00000010610.8	CD4	1038.25
ENSG00000010626.13	LRRC23	987.466666666667
ENSG00000010671.14	BTK	1298.9
ENSG00000010704.17	HFE	1398.14285714286
ENSG00000010803.15	SCMH1	2150.11764705882
ENSG00000010810.16	FYN	1170.60714285714
ENSG00000010818.7	HIVEP2	6034.2
ENSG00000010932.14	FMO1	1644.875
ENSG00000011007.11	ELOA	3312.5
ENSG00000011009.9	LYPLA2	919.8
ENSG00000011021.20	CLCN6	2334.375
ENSG00000011028.12	MRC2	2262
ENSG00000011052.20	NME1-NME2	1036
ENSG00000011083.7	SLC6A7	2252.33333333333
ENSG00000011105.10	TSPAN9	1679
ENSG00000011114.13	BTBD7	3573
ENSG00000011132.10	APBA3	1419
ENSG00000011143.15	MKS1	1181.53846153846
ENSG00000011198.6	ABHD5	805.285714285714
ENSG00000011201.9	ANOS1	2605
ENSG00000011243.16	AKAP8L	1117.94736842105
ENSG00000011258.14	MBTD1	2624.57142857143
ENSG00000011260.12	UTP18	807.857142857143
ENSG00000011275.17	RNF216	1745.44444444444
ENSG00000011295.14	TTC19	1624.6
ENSG00000011304.15	PTBP1	1627.04761904762
ENSG00000011332.18	DPF1	1444.11764705882
ENSG00000011347.8	SYT7	1924.6
ENSG00000011376.8	LARS2	1864
ENSG00000011405.12	PIK3C2A	2546.2
ENSG00000011422.10	PLAUR	865.125
ENSG00000011426.9	ANLN	1377.46153846154
ENSG00000011451.16	WIZ	3079.375
ENSG00000011454.15	RABGAP1	1445.75
ENSG00000011465.15	DCN	1292.5
ENSG00000011478.10	QPCTL	1262.5
ENSG00000011485.13	PPP5C	1479.2
ENSG00000011523.12	CEP68	3572.6
ENSG00000011566.13	MAP4K3	1351.15384615385
ENSG00000011590.12	ZBTB32	1212.66666666667
ENSG00000011600.10	TYROBP	534.75
ENSG00000011638.9	TMEM159	1163.88888888889
ENSG00000011677.11	GABRA3	1532.75
ENSG00000012048.18	BRCA1	2138.86666666667
ENSG00000012061.14	ERCC1	1137.125
ENSG00000012124.13	CD22	1115.09375
ENSG00000012171.16	SEMA3B	2054.66666666667
ENSG00000012174.10	MBTPS2	3582.33333333333
ENSG00000012211.11	PRICKLE3	1218
ENSG00000012223.11	LTF	1421.55555555556
ENSG00000012232.7	EXTL3	1624.64285714286
ENSG00000012504.12	NR1H4	1394.22222222222
ENSG00000012660.12	ELOVL5	1659.14285714286
ENSG00000012779.9	ALOX5	1175.5
ENSG00000012817.14	KDM5D	3548.6
ENSG00000012822.14	CALCOCO1	1344.09523809524
ENSG00000012963.12	UBR7	1091.28571428571
ENSG00000012983.10	MAP4K5	1400
ENSG00000013016.13	EHD3	4636
ENSG00000013275.6	PSMC4	1276.33333333333
ENSG00000013288.7	MAN2B2	3338.6
ENSG00000013293.5	SLC7A14	5288
ENSG00000013297.9	CLDN11	1175.33333333333
ENSG00000013306.14	SLC25A39	1080.88235294118
ENSG00000013364.17	MVP	892.888888888889
ENSG00000013374.14	NUB1	1312.83333333333
ENSG00000013375.14	PGM3	1572.06666666667
ENSG00000013392.7	RWDD2A	3744
ENSG00000013441.14	CLK1	1363.2
ENSG00000013503.8	POLR3B	2388.25
ENSG00000013523.8	ANGEL1	1525.66666666667
ENSG00000013561.16	RNF14	1675.4375
ENSG00000013563.12	DNASE1L1	1622.5
ENSG00000013573.15	DDX11	1516.8
ENSG00000013583.7	HEBP1	1085.25
ENSG00000013588.5	GPRC5A	2272
ENSG00000013619.12	MAMLD1	3056.42857142857
ENSG00000013725.13	CD6	1336.92857142857
ENSG00000013810.17	TACC3	1364.76923076923
ENSG00000014123.9	UFL1	2341
ENSG00000014138.7	POLA2	1557
ENSG00000014164.6	ZC3H3	1913
ENSG00000014216.14	CAPN1	1150.85185185185
ENSG00000014257.14	ACPP	1054.44444444444
ENSG00000014641.16	MDH1	868.75
ENSG00000014824.12	SLC30A9	2228.2
ENSG00000014914.18	MTMR11	1915.5
ENSG00000014919.11	COX15	1836.66666666667
ENSG00000015133.17	CCDC88C	1697.14285714286
ENSG00000015153.13	YAF2	1400.52631578947
ENSG00000015171.17	ZMYND11	2538.94117647059
ENSG00000015285.9	WAS	784.142857142857
ENSG00000015413.8	DPEP1	1105.22222222222
ENSG00000015475.17	BID	1493.26666666667
ENSG00000015479.16	MATR3	1611.66666666667
ENSG00000015520.13	NPC1L1	4142.25
ENSG00000015532.8	XYLT2	1812.57142857143
ENSG00000015568.11	RGPD5	2071.38461538462
ENSG00000015592.15	STMN4	1337.14285714286
ENSG00000015676.16	NUDCD3	1584.45454545455
ENSG00000016082.13	ISL1	1550.66666666667
ENSG00000016391.9	CHDH	2953.66666666667
ENSG00000016402.11	IL20RA	1761.5
ENSG00000016490.14	CLCA1	3214
ENSG00000016602.9	CLCA4	1846.5
ENSG00000016864.15	GLT8D1	1083.4
ENSG00000017260.18	ATP2C1	2629.25
ENSG00000017427.14	IGF1	2572.28571428571
ENSG00000017483.13	SLC38A5	1074.53846153846
ENSG00000017797.10	RALBP1	2425.33333333333
ENSG00000018189.11	RUFY3	1222.8
ENSG00000018236.13	CNTN1	2176
ENSG00000018280.15	SLC11A1	1550.94444444444
ENSG00000018408.13	WWTR1	1327.16666666667
ENSG00000018510.11	AGPS	2824.5
ENSG00000018607.6	ZNF806	1774
ENSG00000018610.12	CXorf56	1345.66666666667
ENSG00000018625.13	ATP1A2	2310.75
ENSG00000018699.10	TTC27	921.5
ENSG00000018869.15	ZNF582	1393.28571428571
ENSG00000019102.10	VSIG2	1169.5
ENSG00000019144.15	PHLDB1	2601.88888888889
ENSG00000019169.10	MARCO	987.666666666667
ENSG00000019186.8	CYP24A1	1399.33333333333
ENSG00000019485.11	PRDM11	3108.16666666667
ENSG00000019505.6	SYT13	2470.33333333333
ENSG00000019549.7	SNAI2	1318
ENSG00000019582.13	CD74	905.5
ENSG00000019991.14	HGF	1664.6
ENSG00000019995.6	ZRANB1	3141
ENSG00000020129.14	NCDN	2291.66666666667
ENSG00000020181.16	ADGRA2	4164
ENSG00000020219.9	CCT8L1P	1674
ENSG00000020256.18	ZFP64	1659.16666666667
ENSG00000020426.9	MNAT1	911.333333333333
ENSG00000020577.12	SAMD4A	2639.07692307692
ENSG00000020633.17	RUNX3	2337.2
ENSG00000020922.11	MRE11	1856.2
ENSG00000021300.12	PLEKHB1	978.285714285714
ENSG00000021355.11	SERPINB1	1060.4
ENSG00000021461.15	CYP3A43	1131.05882352941
ENSG00000021488.11	SLC7A9	1499.16666666667
ENSG00000021574.10	SPAST	4290
ENSG00000021645.16	NRXN3	2955.72222222222
ENSG00000021762.18	OSBPL5	1594.27777777778
ENSG00000021776.9	AQR	3474.16666666667
ENSG00000021826.13	CPS1	2339.90909090909
ENSG00000021852.11	C8B	1367.16666666667
ENSG00000022267.15	FHL1	1293.29032258065
ENSG00000022277.11	RTFDC1	1191.33333333333
ENSG00000022355.13	GABRA1	2127.85
ENSG00000022556.14	NLRP2	1879.78947368421
ENSG00000022567.8	SLC45A4	2767
ENSG00000022840.14	RNF10	901.772727272727
ENSG00000022976.14	ZNF839	1911.41666666667
ENSG00000023041.10	ZDHHC6	1536.8
ENSG00000023171.13	GRAMD1B	2519.35294117647
ENSG00000023191.15	RNH1	1392.20833333333
ENSG00000023228.12	NDUFS1	2855.2
ENSG00000023287.11	RB1CC1	1876.4
ENSG00000023318.7	ERP44	4854
ENSG00000023330.13	ALAS1	1705.16666666667
ENSG00000023445.12	BIRC3	2317.28571428571
ENSG00000023516.8	AKAP11	9920
ENSG00000023572.7	GLRX2	868.666666666667
ENSG00000023608.4	SNAPC1	2656
ENSG00000023697.11	DERA	950.3
ENSG00000023734.9	STRAP	1127.33333333333
ENSG00000023839.9	ABCC2	2517
ENSG00000023892.10	DEF6	1032.33333333333
ENSG00000023902.12	PLEKHO1	1315.77777777778
ENSG00000023909.8	GCLM	2268.25
ENSG00000024048.9	UBR2	5140
ENSG00000024422.10	EHD2	1467.6
ENSG00000024526.15	DEPDC1	2954
ENSG00000024862.15	CCDC28A	1413.66666666667
ENSG00000025039.13	RRAGD	3278
ENSG00000025156.11	HSF2	1944.66666666667
ENSG00000025293.14	PHF20	1175.4375
ENSG00000025423.10	HSD17B6	1053.1
ENSG00000025434.17	NR1H3	963.242424242424
ENSG00000025708.11	TYMP	1657.5
ENSG00000025770.17	NCAPH2	1195.7
ENSG00000025772.7	TOMM34	2062
ENSG00000025796.12	SEC63	1304.7
ENSG00000025800.12	KPNA6	3290.75
ENSG00000026025.12	VIM	1369.4
ENSG00000026036.19	RTEL1-TNFRSF6B	5205
ENSG00000026103.18	FAS	1222.05263157895
ENSG00000026297.14	RNASET2	1359.14285714286
ENSG00000026508.15	CD44	1009.02564102564
ENSG00000026559.12	KCNG1	1567.66666666667
ENSG00000026652.12	AGPAT4	3575.4
ENSG00000026751.15	SLAMF7	2243.54545454545
ENSG00000026950.15	BTN3A1	1600.54545454545
ENSG00000027001.8	MIPEP	1044.8
ENSG00000027075.12	PRKCH	866.375
ENSG00000027644.4	INSRR	5101
ENSG00000027697.11	IFNGR1	1070.75
ENSG00000027847.12	B4GALT7	1339.25
ENSG00000027869.10	SH2D2A	1218.16666666667
ENSG00000028116.15	VRK2	1582.55555555556
ENSG00000028137.15	TNFRSF1B	2058
ENSG00000028203.16	VEZT	1314.9
ENSG00000028277.19	POU2F2	1709.8
ENSG00000028310.16	BRD9	1635.89473684211
ENSG00000028528.13	SNX1	1607.42857142857
ENSG00000028839.8	TBPL1	1257.25
ENSG00000029153.13	ARNTL2	2289.33333333333
ENSG00000029363.14	BCLAF1	2820.625
ENSG00000029364.10	SLC39A9	2160.45454545455
ENSG00000029534.18	ANK1	2681.64285714286
ENSG00000029559.6	IBSP	1546
ENSG00000029639.9	TFB1M	641.777777777778
ENSG00000029725.15	RABEP1	1828
ENSG00000029993.13	HMGB3	1280.2
ENSG00000030066.12	NUP160	1891.90909090909
ENSG00000030110.11	BAK1	2160
ENSG00000030304.11	MUSK	1783.83333333333
ENSG00000030419.15	IKZF2	2989.92857142857
ENSG00000030582.15	GRN	815.9
ENSG00000031003.9	FAM13B	1485.81818181818
ENSG00000031081.9	ARHGAP31	4934
ENSG00000031691.6	CENPQ	1733
ENSG00000031698.11	SARS	1277.5
ENSG00000031823.13	RANBP3	1015.41379310345
ENSG00000032219.17	ARID4A	2512.27272727273
ENSG00000032389.11	TSSC1	1059.57142857143
ENSG00000032444.14	PNPLA6	1466.29166666667
ENSG00000032742.16	IFT88	1703.85714285714
ENSG00000033011.10	ALG1	1409.625
ENSG00000033030.12	ZCCHC8	2098.7
ENSG00000033050.6	ABCF2	1433.33333333333
ENSG00000033100.13	CHPF2	2004.25
ENSG00000033122.17	LRRC7	2172
ENSG00000033170.15	FUT8	1486.4
ENSG00000033178.11	UBA6	2572.5
ENSG00000033327.11	GAB2	2146.85714285714
ENSG00000033627.13	ATP6V0A1	1593.44
ENSG00000033800.12	PIAS1	2018.25
ENSG00000033867.15	SLC4A7	3947.11111111111
ENSG00000034053.13	APBA2	2132.58333333333
ENSG00000034152.17	MAP2K3	1149.13333333333
ENSG00000034239.9	EFCAB1	1108.33333333333
ENSG00000034510.5	TMSB10	496
ENSG00000034533.10	ASTE1	1314.75
ENSG00000034677.10	RNF19A	1067
ENSG00000034693.13	PEX3	1053.66666666667
ENSG00000034713.6	GABARAPL2	1056.8
ENSG00000034971.13	MYOC	1833
ENSG00000035115.20	SH3YL1	1325.89285714286
ENSG00000035141.6	FAM136A	1184.66666666667
ENSG00000035403.15	VCL	3547.42857142857
ENSG00000035499.11	DEPDC1B	1305
ENSG00000035664.10	DAPK2	1819.30769230769
ENSG00000035681.6	NSMAF	992.1875
ENSG00000035687.9	ADSS	1506.33333333333
ENSG00000035720.6	STAP1	1328.5
ENSG00000035862.11	TIMP2	3246.8
ENSG00000035928.13	RFC1	1179
ENSG00000036054.11	TBC1D23	2015.66666666667
ENSG00000036257.11	CUL3	1833.4375
ENSG00000036448.8	MYOM2	1102.33333333333
ENSG00000036473.6	OTC	1106
ENSG00000036530.7	CYP46A1	2075
ENSG00000036549.11	ZZZ3	1835.54545454545
ENSG00000036565.13	SLC18A1	1914.33333333333
ENSG00000036672.14	USP2	1555.14285714286
ENSG00000036828.12	CASR	4964.2
ENSG00000037042.8	TUBG2	1464.33333333333
ENSG00000037241.6	RPL26L1	594
ENSG00000037280.14	FLT4	2511.33333333333
ENSG00000037474.13	NSUN2	1811.11111111111
ENSG00000037637.9	FBXO42	2805
ENSG00000037749.10	MFAP3	848.916666666667
ENSG00000037757.12	MRI1	1318.16666666667
ENSG00000037897.15	METTL1	839.875
ENSG00000037965.5	HOXC8	1889
ENSG00000038002.7	AGA	862.166666666667
ENSG00000038210.12	PI4K2B	3540
ENSG00000038219.11	BOD1L1	3250.16666666667
ENSG00000038274.15	MAT2B	1787.625
ENSG00000038295.6	TLL1	3231
ENSG00000038358.13	EDC4	1755.84615384615
ENSG00000038382.16	TRIO	2355.44
ENSG00000038427.14	VCAN	4511.25
ENSG00000038532.13	CLEC16A	2002.33333333333
ENSG00000038945.13	MSR1	1157.07142857143
ENSG00000039068.17	CDH1	2224
ENSG00000039123.14	SKIV2L2	1469
ENSG00000039139.9	DNAH5	4787.5
ENSG00000039319.15	ZFYVE16	3049.46153846154
ENSG00000039523.16	RIPOR1	1641.13636363636
ENSG00000039537.12	C6	1368.125
ENSG00000039560.12	RAI14	1332.30769230769
ENSG00000039600.9	SOX30	2549
ENSG00000039650.8	PNKP	852.3
ENSG00000039987.5	BEST2	1683.5
ENSG00000040199.17	PHLPP2	4400.57142857143
ENSG00000040275.15	SPDL1	896.0625
ENSG00000040341.16	STAU2	1469.42857142857
ENSG00000040487.11	PQLC2	1548.33333333333
ENSG00000040531.13	CTNS	1011.3
ENSG00000040608.12	RTN4R	1266
ENSG00000040633.11	PHF23	1002.76923076923
ENSG00000040731.9	CDH10	2247.25
ENSG00000040933.14	INPP4A	3185.1
ENSG00000041353.8	RAB27B	2183.25
ENSG00000041357.14	PSMA4	1102.71428571429
ENSG00000041515.14	MYO16	4112.85714285714
ENSG00000041802.9	LSG1	1024.625
ENSG00000041880.13	PARP3	1458.77777777778
ENSG00000041982.13	TNC	3174.85714285714
ENSG00000041988.14	THAP3	1030.875
ENSG00000042062.10	RIPOR3	2367.33333333333
ENSG00000042088.12	TDP1	1526.125
ENSG00000042286.13	AIFM2	2503
ENSG00000042304.9	C2orf83	1965
ENSG00000042317.15	SPATA7	1152.71428571429
ENSG00000042429.9	MED17	2238.31034482759
ENSG00000042445.12	RETSAT	1531.42857142857
ENSG00000042493.14	CAPG	828.866666666667
ENSG00000042753.10	AP2S1	648
ENSG00000042781.11	USH2A	6611.75
ENSG00000042813.6	ZPBP	757.333333333333
ENSG00000042832.10	TG	1498.8
ENSG00000042980.11	ADAM28	1544.75
ENSG00000043039.6	BARX2	1980.5
ENSG00000043093.12	DCUN1D1	1852.75
ENSG00000043143.19	JADE2	2116.09090909091
ENSG00000043355.9	ZIC2	902.4
ENSG00000043462.10	LCP2	1514.9
ENSG00000043514.14	TRIT1	1162.8
ENSG00000043591.5	ADRB1	2853
ENSG00000044012.3	GUCA2B	597
ENSG00000044090.7	CUL7	3835.66666666667
ENSG00000044115.19	CTNNA1	975.025
ENSG00000044446.10	PHKA2	1678.625
ENSG00000044459.13	CNTLN	3307.75
ENSG00000044524.9	EPHA3	3813.33333333333
ENSG00000044574.7	HSPA5	3908
ENSG00000046604.11	DSG2	3456
ENSG00000046647.12	GEMIN8	1046.4
ENSG00000046651.13	OFD1	2304
ENSG00000046653.13	GPM6B	1475.09090909091
ENSG00000046774.9	MAGEC2	1991
ENSG00000046889.17	PREX2	3673.6
